Country Name,Country Code,Year,GDP growth (annual %),GDP per capita (current US$),"Inflation, consumer prices (annual %)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Population growth (annual %),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population (% of total population)
Burundi,BDI,2000,-0.856864058424151,134.537861752389,24.4320242102151,82.655,2.07761630416467,3.137,8.04381449833197
Burundi,BDI,2001,2.05580710835243,132.159554541932,9.29618771341889,81.858,2.50568660000274,3.154,8.24107308668089
Burundi,BDI,2002,4.44651941224797,120.952308575468,-1.3656800532806,81.042,2.82021948884885,3.168,8.45108277415092
Burundi,BDI,2003,-1.22372796023444,111.406682804391,10.6474645658306,80.201,3.15909277106132,3.145,8.67614339385788
Burundi,BDI,2004,4.83365776809453,125.194965184533,8.17642937482053,79.346,3.72769286109058,3.177,8.9185547789176
Burundi,BDI,2005,0.900000000901912,147.234619294225,13.2520699188224,78.43,3.71426552783148,3.162,9.1806167624459
Burundi,BDI,2006,5.41380714491444,161.892755640319,2.74542000214241,77.447,3.6016417629351,3.185,9.4646291775586
Burundi,BDI,2007,3.44449364663615,166.162744906755,8.41206285772544,77.677,3.69817167466282,2.404,9.77289185737152
Burundi,BDI,2008,4.90874190813545,189.502074570768,24.4069510353914,77.879,4.12553206908571,1.634,10.1064353383035
Burundi,BDI,2009,3.7870758305051,198.431524048225,10.5554355299529,78.159,5.06613607694958,1.622,10.4979900434482
Burundi,BDI,2010,5.09373697323055,216.727705301976,6.49326591473993,78.422,4.68101057302388,1.615,10.9843097335487
Burundi,BDI,2011,4.02442793864228,230.069761381132,9.5921660597967,78.565,3.57769854786004,1.602,11.5616652230006
Burundi,BDI,2012,4.42303118490126,231.098787811507,18.1610453065451,78.701,3.56852147814432,1.593,12.2244596804615
Burundi,BDI,2013,4.92392485117456,234.844770150871,7.93795807492418,78.839,3.59186709345175,1.584,12.9670962745892
Burundi,BDI,2014,4.24490803087248,250.544492155185,4.40535234185293,78.938,3.39447686677984,1.572,13.7839781740413
Burundi,BDI,2015,-0.404525595204191,254.402585226788,5.54468891259779,79.489,2.26851729292704,1.449,14.6695085474754
Burundi,BDI,2016,3.20017470408993,232.937812100153,5.55768961400965,79.924,1.72186004024144,1.352,15.6180905635494
Burundi,BDI,2017,3.83185757061784,246.060725714184,16.0525353030392,80.093,2.35048627086438,1.25,16.6241273909209
Burundi,BDI,2018,5.34224473186408,245.661678332009,-2.81469807668465,80.045,3.01898182778662,1.147,17.6820221982475
Burundi,BDI,2019,4.45934202358784,234.31061590725,-0.686772170797359,79.741,3.28367531420808,1.043,18.786178154187
Burundi,BDI,2020,0.306443811651718,252.702452750006,7.32110643415521,78.546,2.9086530249822,1.03,19.9309984273971
Burundi,BDI,2021,3.23707479372925,264.172844085398,8.40453845076341,79.094,2.72425539520386,1.118,21.1108861865354
Burundi,BDI,2022,2.31770122350822,301.832255755105,18.8008786664945,79.104,2.70585008916716,0.909,22.3202446002597
Burundi,BDI,2023,3.25476897326196,249.795164039029,26.9414835762453,78.801,2.72764441044431,0.911,23.5534768372276
Djibouti,DJI,2000,7.19298728463697,737.612183644052,1.74665224985434,34.013,3.13983453232405,26.664,73.3486361649708
Djibouti,DJI,2001,7.19298728463697,742.133791107063,1.74665224985434,33.898,3.16034601005493,26.597,72.8935327252495
Djibouti,DJI,2002,7.19298728463697,743.013270420348,0.63761955366632,33.794,3.09696092483835,26.589,72.4503357641707
Djibouti,DJI,2003,7.19298728463697,764.634465224597,1.98196734627545,33.753,2.23054155487864,26.484,72.0304414068997
Djibouti,DJI,2004,7.19298728463697,806.261652944964,3.12226204699352,33.747,1.53756010632665,26.441,71.6452457786012
Djibouti,DJI,2005,7.19298728463697,844.4483573908,3.10496640148299,33.715,1.56648498246787,26.448,71.3061450044404
Djibouti,DJI,2006,7.19298728463697,898.464628136774,3.48340699677866,33.635,1.95849040506805,26.382,71.0245352095823
Djibouti,DJI,2007,7.19298728463697,969.573220191902,4.96597654553301,33.524,2.16896750475782,26.292,70.8118125191918
Djibouti,DJI,2008,7.19298728463697,1119.15233346969,11.9586206896552,33.407,2.06043519210448,26.183,70.6793730584341
Djibouti,DJI,2009,7.19298728463697,1150.9375857489,1.67549587285963,33.29,2.08325510197307,26.325,70.6383251554484
Djibouti,DJI,2010,7.19298728463697,1213.23352553429,3.95007875923886,33.18,2.03332270229716,26.368,70.6486554782903
Djibouti,DJI,2011,7.19298728463697,1306.34552844977,5.0687139477798,33.071,1.94884944824561,26.31,70.6776532458676
Djibouti,DJI,2012,7.19298728463697,1400.19357858954,3.73120950756887,32.962,1.8993890613377,26.179,70.7266311335377
Djibouti,DJI,2013,7.19298728463697,2075.94498424748,2.70603242872186,32.847,1.85261177020025,26.149,70.7969331287484
Djibouti,DJI,2014,7.19298728463697,2214.62084142432,1.34186494340162,32.72,1.80056496059208,26.16,70.8899032189478
Djibouti,DJI,2015,7.30898563450799,2376.12554719873,-0.522166521445793,32.581,1.73961273409176,26.063,71.0068853915837
Djibouti,DJI,2016,7.1234323372872,2510.4300076241,2.4025290543489,32.431,1.68519891610854,25.982,71.1492236341041
Djibouti,DJI,2017,5.458091517212,2618.95521147369,0.577285724560661,32.272,1.64286125399062,26.064,71.318261933957
Djibouti,DJI,2018,4.77433934943193,2718.08338799203,0.138836400011405,32.111,1.60259372935612,26.18,71.5153442785902
Djibouti,DJI,2019,5.54508081154978,2837.16902340932,3.31763203299603,31.955,1.55766086478885,26.257,71.7418146554518
Djibouti,DJI,2020,1.2021151728969,2844.88810647853,1.77900535643955,31.564,1.50228656339009,27.701,71.9990170519895
Djibouti,DJI,2021,4.40715667561153,3025.91126413549,1.18086783934059,31.784,1.44268944208775,27.628,72.2882954556515
